project_id	Disease_Level_1	Disease_Level_2	alpha_comparison	alpha_p_value	alpha_percentage_change	alpha_q_value	beta_comparison	adonis_R2	adonis_p_value	AUC	AR
PRJDB13192	Infectious	COVID-19	observed_features_filt_nonresident	0.006034939546	-31.54899895	0.03041609531	jaccard_filt_nonresident	0.029387	0.002	NaN	NaN
PRJDB13192	Infectious	COVID-19	shannon_entropy_filt_nonresident	0.001452875668	-50.74953243	0.01147223242	bray_curtis_filt_nonresident	0.038474	0.011	NaN	NaN
PRJEB35665	Cancer	Melanoma	observed_features_filt_nonresident	0.3417941916	60.34392913	0.5816417199	jaccard_filt_nonresident	0.030778	0.364	NaN	NaN
PRJEB35665	Cancer	Melanoma	shannon_entropy_filt_nonresident	0.1167567623	35.71429979	0.2642013236	bray_curtis_filt_nonresident	0.02704	0.53	NaN	NaN
PRJEB38930	Other	AN	observed_features_filt_nonresident	0.004969882165	3.22533137	0.02609188137	jaccard_filt_nonresident	0.017839	0.003	0.7	1.071428571
PRJEB38930	Other	AN	shannon_entropy_filt_nonresident	0.02658107099	-12.13987018	0.09569185557	bray_curtis_filt_nonresident	0.005865	0.664	0.7	1.071428571
PRJEB42375	Gastrointestinal	IBS	observed_features_filt_nonresident	0.738609703	1.095334686	0.8780642946	jaccard_filt_nonresident	0.007933	0.14	0.61	1.0125
PRJEB42375	Gastrointestinal	IBS	shannon_entropy_filt_nonresident	0.5845316764	5.558509523	0.8020817516	bray_curtis_filt_nonresident	0.00926	0.169	0.61	1.0125
PRJEB46343	Infectious	HIV	observed_features_filt_nonresident	0.0605688602	27.58152174	0.1861384484	jaccard_filt_nonresident	0.029988	0.393	NaN	NaN
PRJEB46343	Infectious	HIV	shannon_entropy_filt_nonresident	0.807798709	-1.735035065	0.91152144	bray_curtis_filt_nonresident	0.036902	0.256	NaN	NaN
PRJNA419104	Infectious	CDI	observed_features_filt_nonresident	0.0008861874735	-43.91857506	0.008589201666	jaccard_filt_nonresident	0.061907	0.001	NaN	NaN
PRJNA419104	Infectious	CDI	shannon_entropy_filt_nonresident	0.0004874107599	-66.67282461	0.007375933093	bray_curtis_filt_nonresident	0.090823	0.001	NaN	NaN
PRJNA517994	Liver	Alcohol-Associated-LD	observed_features_filt_nonresident	0.0007954571529	-64.00580552	0.008589201666	jaccard_filt_nonresident	0.076395	0.001	NaN	NaN
PRJNA517994	Liver	Alcohol-Associated-LD	shannon_entropy_filt_nonresident	0.004249794395	-61.3359204	0.02328148234	bray_curtis_filt_nonresident	0.127187	0.001	NaN	NaN
PRJNA590898	Gastrointestinal	IBD	observed_features_filt_nonresident	0.1270461584	-12.96296296	0.2759968268	jaccard_filt_nonresident	0.030311	0.12	0.75	1.074074074
PRJNA590898	Gastrointestinal	IBD	shannon_entropy_filt_nonresident	0.002985470891	-36.95784093	0.01791282535	bray_curtis_filt_nonresident	0.018328	0.669	0.75	1.074074074
PRJNA607176	Gastrointestinal	IBD	observed_features_filt_nonresident	0.001965032601	59.03011741	0.0137552282	jaccard_filt_nonresident	0.020411	0.028	0.65	1.054054054
PRJNA607176	Gastrointestinal	IBD	shannon_entropy_filt_nonresident	0.211930788	13.20101508	0.4163186483	bray_curtis_filt_nonresident	0.019954	0.116	0.65	1.054054054
PRJNA647266	Other	CKD	observed_features_filt_nonresident	0.2890908236	3.224455611	0.5231056088	jaccard_filt_nonresident	0.014451	0.001	0.82	1.186666667
PRJNA647266	Other	CKD	shannon_entropy_filt_nonresident	0.06034657402	8.503490225	0.1861384484	bray_curtis_filt_nonresident	0.021643	0.001	0.82	1.186666667
PRJNA662173	Metabolic	T2DM	observed_features_filt_nonresident	0.3462153095	-7.403651116	0.5816417199	jaccard_filt_nonresident	0.038644	0.003	0.88	1.195652174
PRJNA662173	Metabolic	T2DM	shannon_entropy_filt_nonresident	0.1174228105	6.534546932	0.2642013236	bray_curtis_filt_nonresident	0.060768	0.001	0.88	1.195652174
PRJNA698272	Liver	NAFLD	observed_features_filt_nonresident	0.6438932263	-6.716981132	0.8195004699	jaccard_filt_nonresident	0.012336	0.861	NaN	NaN
PRJNA698272	Liver	NAFLD	shannon_entropy_filt_nonresident	0.4040966897	20.65848465	0.6285948507	bray_curtis_filt_nonresident	0.010046	0.575	NaN	NaN
PRJNA703732	Liver	Alcohol-Associated-LD	observed_features_filt_nonresident	0.001456791418	46.87936656	0.01147223242	jaccard_filt_nonresident	0.014866	0.01	NaN	NaN
PRJNA703732	Liver	Alcohol-Associated-LD	shannon_entropy_filt_nonresident	0.0159744433	130.8386335	0.06575333509	bray_curtis_filt_nonresident	0.007703	0.372	NaN	NaN
PRJNA735021	Autoimmune	RA	observed_features_filt_nonresident	0.6944729643	-3.368464559	0.8578783677	jaccard_filt_nonresident	0.013829	0.211	0.62	1
PRJNA735021	Autoimmune	RA	shannon_entropy_filt_nonresident	0.1150216328	-6.685379759	0.2642013236	bray_curtis_filt_nonresident	0.019141	0.112	0.62	1
PRJNA751473	Autoimmune	AD	observed_features_filt_nonresident	0.8362744674	6.675062972	0.91152144	jaccard_filt_nonresident	0.034065	0.118	NaN	NaN
PRJNA751473	Autoimmune	AD	shannon_entropy_filt_nonresident	0.6174756342	10.64886913	0.8020817516	bray_curtis_filt_nonresident	0.021044	0.736	NaN	NaN
PRJNA756382	Metabolic	T1DM	observed_features_filt_nonresident	0.3657373385	10.93073593	0.59080647	jaccard_filt_nonresident	0.004782	0.956	NaN	NaN
PRJNA756382	Metabolic	T1DM	shannon_entropy_filt_nonresident	0.5576478507	10.73305388	0.8020817516	bray_curtis_filt_nonresident	0.004517	0.935	NaN	NaN
PRJNA778607	Infectious	HD	observed_features_filt_nonresident	0.0005268523638	-39.07469342	0.007375933093	jaccard_filt_nonresident	0.081676	0.001	NaN	NaN
PRJNA778607	Infectious	HD	shannon_entropy_filt_nonresident	0.7386890098	-0.9038736842	0.8780642946	bray_curtis_filt_nonresident	0.084896	0.001	NaN	NaN
PRJNA791216	Autoimmune	RA	observed_features_filt_nonresident	0.8036885671	1.449652778	0.91152144	jaccard_filt_nonresident	0.015185	0.001	NaN	NaN
PRJNA791216	Autoimmune	RA	shannon_entropy_filt_nonresident	0.8150205852	3.535311351	0.91152144	bray_curtis_filt_nonresident	0.020268	0.01	NaN	NaN
PRJNA794154	Infectious	COVID-19	observed_features_filt_nonresident	0.1005765753	29.78420569	0.2642013236	jaccard_filt_nonresident	0.027845	0.022	NaN	NaN
PRJNA794154	Infectious	COVID-19	shannon_entropy_filt_nonresident	0.2979351082	16.04078592	0.5287299103	bray_curtis_filt_nonresident	0.016815	0.533	NaN	NaN
PRJNA813503	Metabolic	GDM	observed_features_filt_nonresident	0.2355190809	-16.03490143	0.4496273363	jaccard_filt_nonresident	0.035768	0.001	0.86	1.630434783
PRJNA813503	Metabolic	GDM	shannon_entropy_filt_nonresident	0.8280503077	-1.552169397	0.91152144	bray_curtis_filt_nonresident	0.041483	0.001	0.86	1.630434783
crohns-paper_37122605	Gastrointestinal	IBD	observed_features_filt_nonresident	4.80E-06	-32.16362126	0.0002014211057	jaccard_filt_nonresident	0.024197	0.001	NaN	NaN
crohns-paper_37122605	Gastrointestinal	IBD	shannon_entropy_filt_nonresident	0.4994358737	-5.960250068	0.7581797601	bray_curtis_filt_nonresident	0.016383	0.025	NaN	NaN
