project_id	Disease_Level_1	Disease_Level_2	Mantel_R	Mantel_p_value	Procrustes_M2	Procrustes_p_value
PRJDB13192	Infectious	COVID-19	0.995	0.001	0.108	0.001
PRJEB35665	Cancer	Melanoma	1.000	0.001	0.000	0.001
PRJEB38930	Other	AN	0.999	0.001	0.001	0.001
PRJEB42375	Gastrointestinal	IBS	0.998	0.001	0.001	0.001
PRJEB46343	Infectious	HIV	0.999	0.001	0.000	0.001
PRJNA419104	Infectious	CDI	0.999	0.001	0.001	0.001
PRJNA517994	Liver	Alcohol-Associated-LD	1.000	0.001	0.000	0.001
PRJNA590898	Gastrointestinal	IBD	1.000	0.001	0.000	0.001
PRJNA607176	Gastrointestinal	IBD	0.999	0.001	0.000	0.001
PRJNA647266	Other	CKD	0.990	0.001	0.009	0.001
PRJNA662173	Metabolic	T2DM	0.980	0.001	0.139	0.001
PRJNA698272	Liver	NAFLD	1.000	0.001	0.000	0.001
PRJNA703732	Liver	Alcohol-Associated-LD	0.999	0.001	0.001	0.001
PRJNA735021	Autoimmune	RA	0.984	0.001	0.006	0.001
PRJNA751473	Autoimmune	AD	1.000	0.001	0.000	0.001
PRJNA756382	Metabolic	T1DM	0.994	0.001	0.162	0.001
PRJNA778607	Infectious	HD	0.999	0.001	0.000	0.001
PRJNA791216	Autoimmune	RA	0.999	0.001	0.001	0.001
PRJNA794154	Infectious	COVID-19	0.998	0.001	0.000	0.001
PRJNA813503	Metabolic	GDM	0.987	0.001	0.005	0.001
crohns-paper_37122605	Gastrointestinal	IBD	0.998	0.001	0.001	0.001
