Project_ID	Disease_Level_2	Case_Control	sample_count_before	sample_count_after
PRJDB13192	COVID-19	Case	76	68
PRJDB13192	COVID-19	Control	24	11
PRJEB35665	Melanoma	Case	20	17
PRJEB35665	Melanoma	Control	17	16
PRJEB38917	Obesity	Case	32	3
PRJEB38917	Obesity	Control	9	1
PRJEB38930	AN	Case	94	60
PRJEB38930	AN	Control	62	34
PRJEB42375	IBS	Case	80	80
PRJEB42375	IBS	Control	64	64
PRJEB46343	HIV	Case	24	23
PRJEB46343	HIV	Control	12	12
PRJEB53019	T2DM	Case	17	5
PRJEB53019	T2DM	Control	11	2
PRJNA419104	CDI	Case	34	31
PRJNA419104	CDI	Control	23	17
PRJNA517994	Alcohol-Associated-LD	Case	91	33
PRJNA517994	Alcohol-Associated-LD	Control	11	8
PRJNA557226	PDA	Case	18	0
PRJNA557226	PDA	Control	9	0
PRJNA590898	IBD	Case	36	24
PRJNA590898	IBD	Control	18	12
PRJNA607176	IBD	Case	34	29
PRJNA607176	IBD	Control	47	33
PRJNA637034	COVID-19	Case	106	0
PRJNA637034	COVID-19	Control	46	0
PRJNA647266	CKD	Case	90	90
PRJNA647266	CKD	Control	150	150
PRJNA662173	T2DM	Case	46	46
PRJNA662173	T2DM	Control	23	23
PRJNA698272	NAFLD	Case	78	14
PRJNA698272	NAFLD	Control	16	2
PRJNA703732	Alcohol-Associated-LD	Case	137	93
PRJNA703732	Alcohol-Associated-LD	Control	18	12
PRJNA735021	RA	Case	47	39
PRJNA735021	RA	Control	39	32
PRJNA751473	AD	Case	17	17
PRJNA751473	AD	Control	17	17
PRJNA756382	T1DM	Case	103	66
PRJNA756382	T1DM	Control	58	30
PRJNA778607	HD	Case	63	63
PRJNA778607	HD	Control	42	42
PRJNA791216	RA	Case	99	91
PRJNA791216	RA	Control	30	26
PRJNA794154	COVID-19	Case	30	30
PRJNA794154	COVID-19	Control	23	23
PRJNA813503	GDM	Case	46	29
PRJNA813503	GDM	Control	52	38
crohns-paper_37122605	IBD	Case	105	104
crohns-paper_37122605	IBD	Control	39	39
