sampleid	read_count	percentage_nonresident_reads	Project_ID	Case_Control	Disease_Level_1	Disease_Level_2
DRR352708	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352709	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352711	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352712	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352715	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352716	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352717	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352718	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352719	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352720	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352721	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352722	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352725	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352726	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352727	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352729	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352730	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352731	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352732	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352733	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352736	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352737	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352738	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352740	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352743	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352745	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352746	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352749	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352752	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352754	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352755	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352757	3000	0.000	PRJDB13192	Control	Infectious	COVID-19
DRR352758	3000	0.000	PRJDB13192	Control	Infectious	COVID-19
DRR352778	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352779	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352780	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352781	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
