id	importance	Feature ID	Taxon	Fruitbody_type_template	primary_lifestyle
SH1332666.10FU_HQ630308_refs	0.0530399931127214	SH1332666.10FU_HQ630308_refs	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_rishikesha	none	soil_saprotroph
SH1306242.10FU_EU587315_refs	0.0384335351650462	SH1306242.10FU_EU587315_refs	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_bialowiezense	not reported	unspecified_saprotroph
SH1360744.10FU_AB586986_refs	0.0279660038821569	SH1360744.10FU_AB586986_refs	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Microdochiaceae;g__Microdochium;s__Microdochium_nivale	none	plant_pathogen
SH1334679.10FU_LN808873_reps	0.0266003846975192	SH1334679.10FU_LN808873_reps	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides	perithecium_(hymenium_hidden,_narrow_opening)	litter_saprotroph
SH1095423.10FU_MH810302_reps	0.0265794058979859	SH1095423.10FU_MH810302_reps	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_citrinum	not reported	unspecified_saprotroph
SH1348718.10FU_JN899374_refs	0.0246663994965538	SH1348718.10FU_JN899374_refs	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces;s__Talaromyces_rugulosus	not reported	unspecified_saprotroph
SH1385054.10FU_KY582184_reps	0.0227920356784121	SH1385054.10FU_KY582184_reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__Plectosphaerella_cucumerina	perithecium_(hymenium_hidden,_narrow_opening)	plant_pathogen
SH1382505.10FU_EF567995_refs	0.0218900744538191	SH1382505.10FU_EF567995_refs	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_albicans	none	nectar/tap_saprotroph
SH1307173.10FU_FJ629352_refs	0.0204642677461395	SH1307173.10FU_FJ629352_refs	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_piperis	not reported	unspecified_saprotroph
SH1385233.10FU_JN188011_refs	0.0203199761988161	SH1385233.10FU_JN188011_refs	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Verticillium;s__Verticillium_nubilum	none	plant_pathogen
SH1207325.10FU_HQ442338_refs	0.0183628585532875	SH1207325.10FU_HQ442338_refs	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_carneum	not reported	unspecified_saprotroph
SH1334520.10FU_HG937035_reps	0.0170464521657176	SH1334520.10FU_HG937035_reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Nectriaceae_gen_Incertae_sedis;s__Nectriaceae_sp		
SH1334767.10FU_KT160857_reps	0.0164137342498082	SH1334767.10FU_KT160857_reps	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp		
SH1213238.10FU_MT185527_refs	0.0158530561337797	SH1213238.10FU_MT185527_refs	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Neoascochyta;s__Neoascochyta_dactylidis	not reported	plant_pathogen
SH1378023.10FU_MH971270_reps	0.0149012177965876	SH1378023.10FU_MH971270_reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Sordariomycetes_gen_Incertae_sedis;s__Sordariomycetes_sp		
SH1323828.10FU_UDB0780672_reps	0.0146595469441671	SH1323828.10FU_UDB0780672_reps	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Hymenoscyphus;s__Hymenoscyphus_menthae	apothecium_(hymenium_on_surface)	litter_saprotroph
SH1306467.10FU_AY373933_refs	0.0143757704129284	SH1306467.10FU_AY373933_refs	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_spinulosum	not reported	unspecified_saprotroph
SH1330342.10FU_FJ534879_refs	0.013621858234197	SH1330342.10FU_FJ534879_refs	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;g__Cryptococcus;s__Cryptococcus_neoformans	not reported	unspecified_saprotroph
SH1324509.10FU_UDB0200241_reps	0.0127259303430879	SH1324509.10FU_UDB0200241_reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Hypocreales_gen_Incertae_sedis;s__Hypocreales_sp		
SH1239211.10FU_KY101920_refs	0.0126114862587934	SH1239211.10FU_KY101920_refs	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Yarrowia;s__Yarrowia_alimentaria	none	unspecified_saprotroph
